City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Codrington,AU,-38.2667,141.9667,58.06,75,100,16.78,overcast clouds
173,Georgetown,MY,5.4112,100.3354,87.8,79,20,4.61,few clouds
174,Tocopilla,CL,-22.092,-70.1979,67.23,66,9,5.7,clear sky
175,Zaranj,AF,30.9667,61.8833,71.6,64,0,24.16,clear sky
176,Aasiaat,GL,68.7098,-52.8699,28.72,62,0,16.26,clear sky
177,Tiksi,RU,71.6872,128.8694,29.3,93,100,5.84,overcast clouds
178,Talen,IN,23.5667,76.7167,93.18,23,3,7.96,clear sky
179,Jand,PK,33.4299,72.0193,90.23,26,3,7.58,clear sky
180,Hobyo,SO,5.3505,48.5268,84.06,72,100,10.83,light rain
181,Honiara,SB,-9.4333,159.95,83.21,76,70,3.22,broken clouds
182,Alekseyevsk,RU,57.8406,108.3492,38.5,95,100,3.38,light rain
183,Maturin,VE,9.75,-63.1767,74.32,90,98,4.03,overcast clouds
184,Atambua,ID,-9.1061,124.8925,80.65,63,34,3.0,scattered clouds
185,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,39.2,41,12,6.91,few clouds
186,Noumea,NC,-22.2763,166.4572,78.01,83,75,13.8,broken clouds
187,Iqaluit,CA,63.7506,-68.5145,35.6,69,75,16.11,broken clouds
188,Tarko-Sale,RU,64.9225,77.785,33.1,78,52,13.67,broken clouds
189,Asau,RO,46.4333,26.4,59.0,40,100,8.3,light rain
190,Bukachacha,RU,52.9833,116.9167,38.95,97,100,4.92,light rain
191,Batticaloa,LK,7.7102,81.6924,85.1,69,78,4.92,broken clouds
192,Sola,VU,-13.8833,167.55,80.6,94,90,9.06,overcast clouds
193,Northam,GB,51.0333,-4.2167,44.01,92,100,5.99,moderate rain
194,Osorno,CL,-40.5667,-73.15,46.4,93,90,1.88,overcast clouds
195,Hanzhong,CN,33.0728,107.0303,69.66,73,100,2.44,overcast clouds
196,Faanui,PF,-16.4833,-151.75,81.72,71,21,8.19,few clouds
197,Roald,NO,62.5833,6.1333,39.2,75,90,11.5,overcast clouds
