City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Itaituba,BR,73.2,overcast clouds,-4.2761,-55.9836,Hotel Campos
353,Shimoda,JP,68.0,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
355,Guozhen,CN,65.84,overcast clouds,34.3659,107.359,Yucai Hotel
358,Coquimbo,CL,55.4,broken clouds,-29.9533,-71.3436,Punto de encuentro
360,Puerto Baquerizo Moreno,EC,75.42,broken clouds,-0.9,-89.6,Hotel los Algarrobos
361,Tunceli,TR,50.0,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
362,Waipawa,NZ,62.6,broken clouds,-41.4122,175.5153,Tora Coastal Walk
363,Wanlaweyn,SO,79.79,overcast clouds,2.6185,44.8938,GAASHAAN HOME
364,Puerto Carreno,CO,74.43,moderate rain,6.189,-67.4859,Casa Hotel Victoria
365,Rawson,AR,55.4,clear sky,-43.3002,-65.1023,Hosteria Sampedro
366,Hokitika,NZ,55.54,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
367,Tete,MZ,69.8,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
369,Ruteng,ID,75.0,few clouds,-8.6136,120.4721,Hotel FX72 Ruteng
371,Altamont,US,53.6,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
372,Mayo,US,71.6,clear sky,38.8876,-76.5119,Resorts Resource Group International
378,Yamaranguila,HN,58.78,broken clouds,14.2833,-88.25,Huella Lenca
379,Hamilton,US,60.01,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
380,Loiza,PR,75.2,broken clouds,18.4313,-65.8802,Malibu Beachfront
383,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
385,Kasangulu,CD,77.0,scattered clouds,-4.5911,15.1708,Hôtel le Relais
388,Sonoita,MX,73.0,clear sky,31.85,-112.8333,Hotel Nora
395,Kresna,BG,59.36,broken clouds,41.7333,23.15,Hotel- Restaurant Struma
396,Gbarnga,LR,72.9,overcast clouds,6.9956,-9.4722,Passion Hotel 2
397,Letlhakane,BW,51.8,overcast clouds,-21.4167,25.5833,Motswedi Hotel P650
399,Tambura,SS,66.4,broken clouds,5.6,27.4667,Rikito Lodge
400,Batemans Bay,AU,73.99,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
401,Kaeo,NZ,66.0,few clouds,-35.1,173.7833,Bushido Lodge
402,Pedasi,PA,78.71,scattered clouds,7.5333,-80.0333,Selina Pedasi
407,Zhob,PK,76.6,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
408,Belmonte,BR,69.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
409,Sierra Vista,US,68.0,clear sky,31.5545,-110.3037,Gateway Studio Suites
411,Conakry,GN,78.22,light rain,9.538,-13.6773,Riviera Royal Hotel
414,College,US,53.6,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
415,Thabazimbi,ZA,51.94,clear sky,-24.5917,27.4116,Eagle's Rest
417,Khash,IR,67.68,scattered clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
418,Komsomolskiy,UZ,77.0,overcast clouds,40.4272,71.7189,Ikathouse
419,Ushtobe,KZ,63.36,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
420,Samana,DO,75.63,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
421,Bajah,YE,69.22,overcast clouds,13.8141,44.6301,باجة
422,Sambava,MG,75.43,few clouds,-14.2667,50.1667,Melrose
423,Karuzi,BI,57.34,overcast clouds,-3.125,30.1333,Hôtel Cercle La Girafe
425,Reconquista,AR,67.44,clear sky,-29.15,-59.65,Grand Hotel
426,Puerto Quijarro,BO,76.78,scattered clouds,-17.7833,-57.7667,Hotel palance
429,Nishihara,JP,75.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
432,Erenhot,CN,51.67,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
433,Parry Sound,CA,51.8,overcast clouds,45.3501,-80.033,Bayside Inn
434,Sioux Lookout,CA,50.0,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
436,Tateyama,JP,68.0,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
437,Urumqi,CN,59.0,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
438,Iringa,TZ,66.2,few clouds,-7.7667,35.7,M.R. Hotels ltd.
439,Nador,MA,60.8,broken clouds,35.174,-2.9287,Hôtel La Giralda
441,Krotovka,RU,55.04,broken clouds,53.2858,51.1686,"Gostinitsa, Usgk Im. V.i. Saprunova"
444,Yatou,CN,59.2,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
445,Chardara,KZ,75.38,broken clouds,41.2547,67.9692,Жанаргул
446,Sao Filipe,CV,70.41,clear sky,14.8961,-24.4956,Tortuga B&B
447,Upata,VE,78.01,overcast clouds,8.0086,-62.3989,Posada Villa Nela
448,Manaure,CO,79.93,overcast clouds,11.7751,-72.4445,Hotel Palaaima
451,Ahipara,NZ,61.75,clear sky,-35.1667,173.1667,Ahipara Holiday Park
452,Kutum,SD,74.21,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
453,Lima,PE,66.2,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
454,Butembo,CD,56.01,light rain,0.15,29.2833,Hotel Butembo
459,Camocim,BR,75.06,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
460,Tacuarembo,UY,62.58,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
461,Abdulino,RU,53.4,broken clouds,53.7,53.6667,Hotel Lazur
465,Arona,ES,64.0,few clouds,28.0996,-16.681,Paradise Court
466,Erdaojiang,CN,61.9,scattered clouds,41.7764,126.0319,Tonggang Hotel
468,Acapetahua,MX,75.2,few clouds,15.2833,-92.7,Hotel Carmen
469,Moree,AU,77.0,clear sky,-29.4667,149.85,Molika Springs Motel
470,North Bend,US,53.6,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
471,Namibe,AO,74.8,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
473,Ambilobe,MG,73.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
